id,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,type_of_assessment,score_text,v_type_of_assessment,v_decile_score,v_score_text,in_custody,out_custody,two_year_recid
1,Male,69,Greater than 45,Other,0,1,0,0,0,F,Aggravated Assault w/Firearm,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,7/7/14,7/14/14,0
3,Male,34,25 - 45,African-American,0,3,0,0,0,F,Felony Battery w/Prior Convict,1,1,Risk of Recidivism,Low,Risk of Violence,1,Low,1/26/13,2/5/13,1
4,Male,24,Less than 25,African-American,0,4,0,1,4,F,Possession of Cocaine,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,6/16/13,6/16/13,1
5,Male,23,Less than 25,African-American,0,8,1,0,1,F,Possession of Cannabis,0,0,Risk of Recidivism,High,Risk of Violence,6,Medium,,,0
6,Male,43,25 - 45,Other,0,1,0,0,2,F,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,,,0
7,Male,44,25 - 45,Other,0,1,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,11/30/13,12/1/13,0
8,Male,41,25 - 45,Caucasian,0,6,0,0,14,F,Possession Burglary Tools,1,0,Risk of Recidivism,Medium,Risk of Violence,2,Low,3/31/14,4/18/14,1
9,Male,43,25 - 45,Other,0,4,0,0,3,F,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,3,Low,5/22/14,6/3/14,0
10,Female,39,25 - 45,Caucasian,0,1,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,3/15/14,3/18/14,0
13,Male,21,Less than 25,Caucasian,0,3,0,0,1,F,Insurance Fraud,1,1,Risk of Recidivism,Low,Risk of Violence,5,Medium,1/6/15,1/7/15,1
14,Male,27,25 - 45,Caucasian,0,4,0,0,0,F,"Poss 3,4 MDMA (Ecstasy)",0,0,Risk of Recidivism,Low,Risk of Violence,4,Low,11/25/13,11/26/13,0
15,Male,23,Less than 25,African-American,0,6,0,0,3,M,Battery,1,0,Risk of Recidivism,Medium,Risk of Violence,4,Low,10/3/13,10/7/13,1
16,Female,37,25 - 45,Caucasian,0,1,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,1/1/13,1/2/13,0
18,Male,41,25 - 45,African-American,0,4,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,10/8/13,10/9/13,0
19,Female,47,Greater than 45,Caucasian,0,1,0,0,1,F,arrest case no charge,1,0,Risk of Recidivism,Low,Risk of Violence,1,Low,6/3/14,11/19/14,1
20,Male,31,25 - 45,African-American,0,3,0,0,7,F,Felony Driving While Lic Suspd,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,6/25/14,6/28/14,1
21,Male,37,25 - 45,Hispanic,0,1,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,3/24/14,3/24/14,0
